,gbifID,eventDate,country,continent,stateProvince,decimalLatitude,decimalLongitude,species,occurrenceStatus,key,ppt_mean,soil_mean,tmax_mean,tmin_mean,vap_mean,ws_mean
9148,2236299662,2018-02-13 23:02:00,Australia,Australia,New South Wales,-31.732415,152.088515,Litoria Fallax,1,9148,91.6,95.583336,23.356667,10.981668,1.2531667,2.8750002
9149,2563750401,2017-10-25 21:07:00,Australia,Australia,New South Wales,-32.968624,151.644194,Litoria Fallax,1,9149,84.13333,73.65,23.895,13.938335,1.4729999,4.123334
9150,1850994254,2017-11-30 08:35:00,Australia,Australia,New South Wales,-33.093048,151.4163,Litoria Fallax,1,9150,80.916664,60.0,23.413336,12.563334,1.3876668,3.5416667
9151,2446170390,2017-01-01 00:00:00,Australia,Australia,New South Wales,-32.83969,151.70187,Litoria Fallax,1,9151,78.25,76.55,23.971668,13.478334,1.4663332,3.885
9152,2446280067,2018-01-22 00:00:00,Australia,Australia,New South Wales,-33.08688,151.42057,Litoria Fallax,1,9152,81.21667,61.833332,23.75667,13.061667,1.4333332,3.653333
9153,3108929113,2018-12-30 00:00:00,Australia,Australia,New South Wales,-33.3247,151.364,Litoria Fallax,1,9153,90.416664,64.933334,23.260004,12.676668,1.4001664,3.5933335
9154,3108903645,2017-12-08 00:00:00,Australia,Australia,New South Wales,-28.512268,153.421007,Litoria Fallax,1,9154,120.583336,151.3,25.21,14.730001,1.6756665,3.6199996
9155,3108869522,2019-09-22 00:00:00,Australia,Australia,New South Wales,-33.3249,151.365,Litoria Fallax,1,9155,90.416664,64.933334,23.260004,12.676668,1.4001664,3.5933335
9156,3108948662,2018-10-30 00:00:00,Australia,Australia,New South Wales,-29.618972,152.977267,Litoria Fallax,1,9156,69.8,51.366665,25.89667,14.046667,1.5656666,2.9616666
9157,3108869661,2018-11-12 00:00:00,Australia,Australia,New South Wales,-33.397549,151.377755,Litoria Fallax,1,9157,97.183334,74.78333,23.286669,13.123335,1.4283334,3.7
9158,3108924129,2019-01-25 00:00:00,Australia,Australia,New South Wales,-33.3248,151.365,Litoria Fallax,1,9158,90.416664,64.933334,23.260004,12.676668,1.4001664,3.5933335
9159,3108900849,2017-11-11 00:00:00,Australia,Australia,New South Wales,-32.875456,151.696757,Litoria Fallax,1,9159,81.4,78.36667,23.971672,13.781669,1.4648334,3.7616665
9160,3108860625,2018-12-20 00:00:00,Australia,Australia,New South Wales,-33.3244,151.365,Litoria Fallax,1,9160,90.416664,64.933334,23.260004,12.676668,1.4001664,3.5933335
9161,3108906817,2017-12-11 00:00:00,Australia,Australia,New South Wales,-28.7048,152.691,Litoria Fallax,1,9161,76.2,74.01667,24.935003,12.400003,1.3929999,2.6533334
