,decimalLatitude,decimalLongitude,occurrenceStatus,normalized_ppt_mean,normalized_srad_mean,normalized_tmax_mean,normalized_tmin_mean,normalized_vap_mean,normalized_ws_mean
0,-33.4666,150.185,0,0.013022805538387508,0.01347669246343409,0.010380313438546595,0.008057739121928772,0.010088012603551022,0.012404922745300409
1,-33.833166,151.0147,0,0.012496092975244113,0.013287442346358282,0.013917129190479499,0.014848689934822109,0.014224943668637689,0.014817161795944086
2,-33.7141,151.143,0,0.017150688684502157,0.013311383683919289,0.01329411810767293,0.014385971830278961,0.013965538656258741,0.013460662183362806
3,-33.9074,150.83372,0,0.01121778148533044,0.013484673137300498,0.013908462304412594,0.013344856948429728,0.01350946114770041,0.012355819870090894
4,-33.759766,151.113259,0,0.014922519502405864,0.013329624931026128,0.013624400939298025,0.014854375673690525,0.014187645150687132,0.013988530797551694
5,-34.003418,151.067002,0,0.014602941452384085,0.013252100827888942,0.01343567069888828,0.01484110515689598,0.014280895006038444,0.015179307009388354
6,-33.6647,151.097,0,0.015185874896260757,0.013392328662174834,0.013391373152823249,0.01398393650046672,0.01406726549374784,0.01409287799810943
7,-33.7341,151.112,0,0.01601145223565713,0.013325064448239865,0.013398113807429111,0.014308219322807611,0.013877374176367266,0.013454523679470268
8,-33.977153,151.00245,0,0.013093822882836793,0.013304543301759002,0.013633066669857152,0.014731114498662408,0.014284285595437847,0.015081098681003925
9,-33.4749,150.172,0,0.013022805538387508,0.01347669246343409,0.010380313438546595,0.008057739121928772,0.010088012603551022,0.012404922745300409
10,-33.364637,150.182685,0,0.013120454387005275,0.013470992372979924,0.01012898934196138,0.007469858755204946,0.0099320292147216,0.012318993634385685
11,-33.6337,150.292,0,0.016446432760235552,0.013434510562804463,0.010617191954681787,0.008981276405740406,0.010440668488559826,0.011404428369147774
12,-34.064789,151.026732,0,0.014910682686519778,0.013273761582037708,0.013185307984771926,0.014131855599652821,0.013921457942230826,0.01467598872796191
13,-33.3987,150.229,0,0.013620535445980188,0.0134687124736059,0.010173283999256977,0.007771383716492986,0.010050712457954789,0.01215326434114873
14,-33.608414,150.890447,0,0.01152848236729606,0.013559918025101874,0.013989349581929064,0.013428296332599968,0.01371291278812151,0.012079609291772915
15,-33.911194,151.141521,0,0.015200671359976764,0.013168875266221156,0.013618622244914906,0.015618621128965707,0.014458917734603276,0.015351170755429366
16,-34.0543,150.77,0,0.012067031036152094,0.013447051035418916,0.013903648459021659,0.013322100338990402,0.013297525404191686,0.012171678747984032
