,latitude,longitude
0,-18.449969995413362,115.41705000108462
1,-20.717409996133078,113.68505000053486
2,-12.399049993492717,114.02710000064343
3,-13.90166999396967,130.1346800057562
4,-11.973269993357569,122.75401000341347
5,-29.099519998793674,112.9360100002971
6,-29.653319998969458,131.9994700063481
7,-18.14137999531541,122.2320700032478
8,-19.330879995692975,113.74515000055393
9,-21.688459996441303,130.00848000571614
10,-12.182659993424032,132.3681000064651
11,-24.85566999744662,113.90577000060492
12,-16.69367999485589,132.26404000643208
13,-23.167979996910923,117.96270000189264
14,-13.543429993855959,132.6311200065486
15,-20.61511999610061,126.91599000473454
16,-24.907899997463197,113.79300000056912
17,-14.941319994299668,112.677360000215
18,-16.572749994817507,129.23913000547194
19,-26.704669998033516,118.38389000202633
20,-11.537429993219227,132.5658700065279
21,-25.145979997538767,134.66963000719565
22,-18.879419995549675,112.83340000026453
23,-22.51679999670423,124.47442000395955
24,-13.654349993891167,112.45686000014501
25,-14.400189994127906,117.15337000163575
26,-17.636459995155143,117.52314000175312
27,-27.606179998319668,132.41893000648125
28,-19.774379995833748,125.17376000418153
29,-24.44192999731529,122.48584000332835
30,-12.91453999365634,123.18469000355017
31,-17.955289995256344,125.65872000433546
32,-15.66000999452779,126.23084000451706
33,-24.733759997407923,120.59953000272961
34,-12.120789993404394,119.8462200024905
35,-18.807459995526834,115.3347700010585
36,-17.037309994964964,112.13250000004206
37,-24.24448999725262,124.59886000399905
38,-20.84604999617391,116.37344000138819
39,-20.56105999608345,132.13298000639048
40,-12.85095999363616,115.93950000125045
41,-26.842499998077265,133.68294000688246
42,-18.963919995576497,114.31062000073342
43,-24.531199997343627,134.07681000700748
44,-11.255209993129647,120.8502600028092
45,-18.08450999529736,115.05602000097002
46,-19.403899995716152,119.4080100023514
47,-15.87590999459632,127.52565000492805
48,-16.815479994894552,130.47645000586468
49,-27.448719998269688,117.4562900017319
50,-24.42361999730948,133.10789000669993
51,-13.428769993819564,133.17953000672267
52,-22.912509996829833,130.80390000596861
53,-18.634019995471782,113.4394500004569
54,-13.837219993949212,113.09979000034909
55,-27.906099998414867,130.46940000586244
56,-22.614579996735266,118.77209000214955
57,-26.11393999784601,124.2442700038865
58,-12.6907299935853,130.98551000602626
59,-20.256559995986798,116.20501000133473
60,-29.49510999891924,117.3961300017128
61,-10.962869993036854,132.39784000647455
62,-12.983409993678201,124.74562000404563
63,-28.10641999847845,120.72007000276787
64,-10.472689992881264,117.25914000166932
65,-25.525579997659257,118.80224000215912
66,-23.691469997077085,118.20985000197109
67,-24.827339997437626,129.1016600054283
68,-24.56179999735334,124.32564000391233
69,-10.2091099927976,131.47248000618083
70,-27.43382999826496,114.89947000092033
71,-20.16576999595798,133.53126000683432
72,-13.660359993893074,121.43746000299558
73,-29.727569998993026,134.5645300071623
74,-23.475069997008397,114.02599000064308
75,-20.49454999606234,124.86388000408317
76,-18.08882999529873,119.5976500024116
77,-28.840929998711594,123.10238000352405
78,-29.263789998845816,113.6785500005328
79,-18.455079995414984,113.40724000044668
80,-17.098079994984253,133.49571000682303
81,-11.657679993257396,118.71020000212991
82,-12.249529993445258,115.67676000116705
83,-22.625229996738646,119.10496000225521
84,-15.905249994605633,134.6477000071887
85,-16.287599994726996,120.69078000275857
86,-20.75660999614552,113.96759000062454
87,-16.34992999474678,125.014570004131
88,-18.433919995408267,115.22428000102343
89,-14.49398999415768,122.45311000331796
90,-18.740949995505723,132.3346400064545
91,-17.83319999521759,133.2395200067417
92,-25.287269997583614,118.9221800021972
93,-22.405029996668752,112.9413800002988
94,-14.047489994015955,128.66379000528931
