,gbifID,eventDate,country,continent,stateProvince,decimalLatitude,decimalLongitude,species,occurrenceStatus,key,ppt_mean,srad_mean,tmax_mean,tmin_mean,vap_mean,ws_mean
0,3463704693,2019-11-10 00:00:00,Australia,Australia,New South Wales,-33.4666,150.185,Crinia Signifera,0,0,73.35,197.01666,17.96667,7.0816693,0.9916667,3.368333
1,3463455363,2018-10-08 00:00:00,Australia,Australia,New South Wales,-33.833166,151.0147,Crinia Signifera,0,1,70.38333,194.25,24.088335,13.050002,1.3983332,4.023333
2,3463662977,2018-11-04 00:00:00,Australia,Australia,New South Wales,-33.7141,151.143,Crinia Signifera,0,2,96.6,194.6,23.010002,12.643335,1.3728333,3.655
3,2806506373,2016-07-15 00:00:00,Australia,Australia,New South Wales,-33.9074,150.83372,Crinia Signifera,0,3,63.183334,197.13333,24.073334,11.728335,1.3280002,3.355
4,3463505407,2018-12-21 00:00:00,Australia,Australia,New South Wales,-33.759766,151.113259,Crinia Signifera,0,4,84.05,194.86667,23.581669,13.054999,1.3946667,3.7983332
5,3463549146,2018-10-09 00:00:00,Australia,Australia,New South Wales,-34.003418,151.067002,Crinia Signifera,0,5,82.25,193.73334,23.255007,13.043336,1.4038333,4.121667
6,3108908851,2018-10-15 00:00:00,Australia,Australia,New South Wales,-33.6647,151.097,Crinia Signifera,0,6,85.53333,195.78334,23.178335,12.29,1.3828332,3.8266668
7,3108886709,2018-11-03 00:00:00,Australia,Australia,New South Wales,-33.7341,151.112,Crinia Signifera,0,7,90.183334,194.8,23.190002,12.575001,1.3641666,3.6533332
8,3014080377,2019-09-21 20:07:00,Australia,Australia,New South Wales,-33.977153,151.00245,Crinia Signifera,0,8,73.75,194.5,23.596668,12.946669,1.4041666,4.0950003
9,3108863070,2018-11-13 00:00:00,Australia,Australia,New South Wales,-33.4749,150.172,Crinia Signifera,0,9,73.35,197.01666,17.96667,7.0816693,0.9916667,3.368333
10,1916000324,2017-04-11 00:00:00,Australia,Australia,New South Wales,-33.364637,150.182685,Crinia Signifera,0,10,73.9,196.93333,17.531668,6.5650015,0.9763333,3.3450005
11,3463578852,2018-11-14 00:00:00,Australia,Australia,New South Wales,-33.6337,150.292,Crinia Signifera,0,11,92.63333,196.4,18.376669,7.8933344,1.0263333,3.0966668
12,3108884750,2019-05-14 00:00:00,Australia,Australia,New South Wales,-34.064789,151.026732,Crinia Signifera,0,12,83.98333,194.05,22.821669,12.420001,1.3685001,3.985
13,3463555488,2019-10-23 00:00:00,Australia,Australia,New South Wales,-33.3987,150.229,Crinia Signifera,0,13,76.71667,196.9,17.608335,6.8300014,0.98800004,3.2999997
14,3108866951,2019-05-07 00:00:00,Australia,Australia,New South Wales,-33.608414,150.890447,Crinia Signifera,0,14,64.933334,198.23334,24.213337,11.801667,1.3479998,3.28
15,3463484038,2019-03-22 00:00:00,Australia,Australia,New South Wales,-33.911194,151.141521,Crinia Signifera,0,15,85.61667,192.51666,23.571667,13.726668,1.4213332,4.1683335
16,3108886612,2019-07-19 00:00:00,Australia,Australia,New South Wales,-34.0543,150.77,Crinia Signifera,0,16,67.96667,196.58333,24.065002,11.708335,1.3071666,3.3049998
17,2420905223,2017-04-05 00:00:00,Australia,Australia,New South Wales,-34.215131,150.658012,Crinia Signifera,0,17,71.25,196.11667,23.27,10.71,1.2678334,3.2416666
