,id,decimalLongitude,decimalLatitude,key,aet_mean,pet_mean,ppt_mean,srad_mean,tmax_mean,tmin_mean,vap_mean
0,3453,115.886,-31.9363,0,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
1,3454,115.887,-31.9365,1,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
2,3455,115.885,-31.9384,2,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
3,3456,115.883,-31.9403,3,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
4,3457,115.858,-32.0463,4,48.7,139.83333,53.833332,233.68333,24.253334,13.290004,1.3510001
5,3458,115.859,-32.0462,5,48.7,139.83333,53.833332,233.68333,24.253334,13.290004,1.3510001
6,3459,115.923,-31.9274,6,46.7,140.88333,51.2,234.35,24.696669,13.060001,1.3321666
7,3460,115.9,-32.2722,7,48.633335,136.96666,58.416668,232.75,24.123335,12.741668,1.3344998
8,3461,115.922,-31.9268,8,46.7,140.88333,51.2,234.35,24.696669,13.060001,1.3321666
9,3462,115.887,-31.9353,9,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
10,3463,115.886,-31.9373,10,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
11,3464,115.885,-31.9378,11,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
12,3465,115.902,-31.8683,12,45.966667,142.03334,50.983334,234.93333,24.601667,13.096668,1.3353333
13,3466,115.9,-31.869,13,45.966667,142.03334,50.983334,234.93333,24.601667,13.096668,1.3353333
14,3467,115.886,-31.9374,14,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
15,3468,115.91286374757,-31.9305972796724,15,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
16,3469,115.910579881334,-31.9324363275966,16,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
17,3470,115.921,-31.9264,17,46.7,140.88333,51.2,234.35,24.696669,13.060001,1.3321666
18,3471,115.949,-31.9,18,46.25,141.1,51.116665,233.98334,24.73667,13.008334,1.3284999
19,3472,116.062,-32.3352,19,51.4,128.55,79.3,231.3,22.781668,10.793335,1.1881665
20,3473,116.208061510805,-31.8794378266035,20,45.166668,129.08333,61.866665,233.0,23.005001,10.203335,1.1391667
21,3474,116.032,-31.9851,21,50.5,138.51666,59.4,234.63333,24.298336,12.425002,1.2725002
22,3475,115.887,-31.9356,22,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
23,3476,116.058,-32.3743,23,51.4,128.55,79.3,231.3,22.781668,10.793335,1.1881665
24,3477,115.915542896945,-32.0321711898148,24,48.15,139.53334,52.966667,234.1,24.38667,13.213336,1.3435
25,3478,115.886,-31.9362,25,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
26,3479,115.886,-31.937,26,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
27,3480,116.029263446216,-31.9965506997257,27,50.5,138.51666,59.4,234.63333,24.298336,12.425002,1.2725002
28,3481,116.019,-32.4107,28,53.2,131.58333,79.666664,230.88333,23.126669,11.253335,1.2
29,3482,115.886,-31.9356,29,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
30,3483,115.887,-31.9363,30,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
31,3484,115.886,-31.9355,31,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
32,3485,115.80837909143,-31.7891280586196,32,45.933334,141.7,50.983334,235.13333,24.380001,13.108335,1.355
33,3486,115.923,-31.9275,33,46.7,140.88333,51.2,234.35,24.696669,13.060001,1.3321666
34,3487,115.886,-31.9357,34,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
35,3488,115.884,-31.9399,35,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
36,3489,116.083,-32.1154,36,51.166668,128.38333,73.53333,232.38333,22.69,10.700002,1.1783333
37,3490,115.885,-31.9377,37,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
38,3491,115.887,-31.9355,38,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
39,3492,115.883,-31.9402,39,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
40,3493,115.889,-31.9357,40,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
41,3494,116.079472042512,-32.1161128711907,41,53.216667,132.1,72.86667,232.73334,23.148336,11.345001,1.1984999
42,3495,115.915,-32.0359,42,48.15,139.53334,52.966667,234.1,24.38667,13.213336,1.3435
43,3496,116.033301687217,-31.9952640927066,43,50.5,138.51666,59.4,234.63333,24.298336,12.425002,1.2725002
44,3497,115.941815301884,-31.9185791770294,44,46.7,140.88333,51.2,234.35,24.696669,13.060001,1.3321666
45,3498,115.884,-31.94,45,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
46,3499,115.887,-31.9362,46,47.1,140.91667,51.4,234.06667,24.546669,13.283335,1.3445
