,id,decimalLongitude,decimalLatitude,key,aet_mean,pet_mean,ppt_mean,srad_mean,tmax_mean,tmin_mean,vap_mean
0,1491,151.3,-33.2231,0,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
1,1492,151.300484910748,-33.2230206532713,1,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
2,1493,151.298999469868,-33.233757787415,2,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
3,1494,151.299,-33.2334,3,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
4,1495,151.299145398802,-33.2333637541469,4,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
5,1496,151.293758852548,-33.4107293933941,5,78.96667,113.13333,92.45,196.05,23.263338,12.610002,1.4016666
6,1497,151.299,-33.2337,6,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
7,1498,151.377591043852,-33.3856375795169,7,81.71667,113.183334,97.183334,196.86667,23.286669,13.123335,1.4283334
8,1499,151.362,-33.2706,8,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
9,1500,151.361719491101,-33.2706022030052,9,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
10,1501,151.475,-32.6931,10,57.25,119.2,60.083332,202.4,24.898335,12.453336,1.3755
11,1502,151.361871203549,-33.3532302081896,11,78.3,112.583336,91.833336,196.91667,23.400002,12.806668,1.4163334
12,1503,151.294210888586,-33.4123577876328,12,78.96667,113.13333,92.45,196.05,23.263338,12.610002,1.4016666
13,1504,151.356097637642,-33.410854288121,13,79.51667,113.63333,93.65,196.65,23.593334,13.028335,1.4348334
14,1505,151.299,-33.2336,14,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
15,1506,151.331,-33.2576,15,74.36667,111.166664,85.23333,197.13333,23.196665,12.341669,1.372
16,1507,151.361,-33.2706,16,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
17,1508,151.4,-33.2753,17,76.95,114.3,89.13333,197.7,23.633337,13.176667,1.4426668
18,1509,151.592837571655,-32.985952336407,18,73.3,120.183334,80.8,199.96666,23.921669,13.633333,1.4708332
19,1510,151.562792068278,-33.052036633815,19,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
20,1511,151.556685685672,-33.2738799302115,20,80.85,119.65,93.63333,199.55,23.346668,14.248335,1.4803334
21,1512,151.634945593458,-33.1316912384667,21,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
22,1513,151.635167261517,-33.1318003187927,22,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
23,1514,151.635345277907,-33.1322225953119,23,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
24,1515,151.625987594252,-33.1383791324177,24,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
25,1516,151.590523973814,-33.2059265048387,25,80.03333,119.566666,92.1,200.15,23.378334,14.153335,1.4768335
26,1517,151.365,-33.3247,26,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
27,1518,151.365,-33.3249,27,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
28,1519,151.365,-33.325,28,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
29,1520,151.366,-33.328,29,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
30,1521,151.371,-33.3306,30,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
31,1522,151.366,-33.3281,31,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
32,1523,151.365,-33.3251,32,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
33,1524,151.365,-33.3246,33,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
34,1525,151.366,-33.3282,34,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
35,1526,151.366,-33.3283,35,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
36,1527,151.399,-33.2854,36,76.95,114.3,89.13333,197.7,23.633337,13.176667,1.4426668
37,1528,151.287129615614,-33.4840317003064,37,79.15,115.433334,92.333336,196.68333,23.275002,12.655002,1.4088333
38,1529,151.196440958581,-32.5267503958242,38,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
39,1530,151.290507933962,-33.483884122102,39,79.15,115.433334,92.333336,196.68333,23.275002,12.655002,1.4088333
40,1531,151.365,-33.3245,40,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
41,1532,151.287749698526,-33.4840669390126,41,79.15,115.433334,92.333336,196.68333,23.275002,12.655002,1.4088333
42,1533,151.401,-33.4374,42,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
43,1534,151.399465464197,-33.4374893317311,43,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
44,1535,151.403528759397,-33.4282446792661,44,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
45,1536,151.516695926517,-32.7546258360047,45,57.766666,118.53333,60.616665,201.63333,24.608337,12.721667,1.4054999
46,1537,151.475,-33.1688,46,78.53333,116.03333,90.53333,198.43333,23.574999,13.545001,1.4545
47,1538,151.645852178476,-33.1245741946931,47,78.65,120.38333,89.26667,200.18333,23.565002,14.143335,1.4818336
48,1539,151.645887717746,-33.1246005138691,48,78.65,120.38333,89.26667,200.18333,23.565002,14.143335,1.4818336
49,1540,151.645912528179,-33.1246379390667,49,78.65,120.38333,89.26667,200.18333,23.565002,14.143335,1.4818336
50,1541,151.4,-33.2757,50,76.95,114.3,89.13333,197.7,23.633337,13.176667,1.4426668
51,1542,151.305584712095,-32.8594089160048,51,54.983334,115.2,57.566666,200.5,24.53167,11.960001,1.3446667
52,1543,151.299183871738,-33.2334189489793,52,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
53,1544,151.299070213131,-33.2334207510885,53,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
54,1545,151.552,-32.5587,54,66.48333,115.76667,69.65,201.56667,24.593334,12.238336,1.35
55,1546,151.562871611398,-33.0520870289318,55,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
56,1547,151.454,-33.1856,56,76.8,113.96667,88.26667,197.91667,23.446667,13.128336,1.4258332
57,1548,150.736,-33.4927,57,59.233334,113.5,63.35,199.41667,24.263334,11.058333,1.2891668
58,1549,151.399557078398,-33.2756522996661,58,76.95,114.3,89.13333,197.7,23.633337,13.176667,1.4426668
59,1550,151.29912486314,-33.2334738504451,59,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
60,1551,151.387,-33.4187,60,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
61,1552,151.299,-33.2343,61,72.3,112.38333,81.75,197.9,23.476667,12.4400015,1.3848335
62,1553,151.331838676847,-33.2578738220346,62,74.36667,111.166664,85.23333,197.13333,23.196665,12.341669,1.372
63,1554,151.3266142366,-32.9957510903785,63,66.86667,112.7,72.86667,199.05,23.20167,11.546667,1.3163333
64,1555,151.334,-33.262,64,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
65,1556,151.361548081181,-33.2706924341929,65,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
66,1557,151.381522743172,-33.4308416024162,66,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
67,1558,151.381279835618,-33.4309216495915,67,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
68,1559,151.552,-32.5588,68,66.48333,115.76667,69.65,201.56667,24.593334,12.238336,1.35
69,1560,151.562809666443,-33.0520560503585,69,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
70,1561,151.420951021867,-33.0868640150133,70,72.933334,115.683334,81.21667,198.76666,23.75667,13.061667,1.4333332
71,1562,151.365,-33.3245,71,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
72,1563,151.365,-33.3244,72,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
73,1564,151.365,-33.3243,73,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
74,1565,151.368,-33.3294,74,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
75,1566,151.367,-33.3291,75,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
76,1567,151.365,-33.3244,76,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
77,1568,151.349892367648,-32.9926497201886,77,67.63333,113.15,73.61667,199.16667,23.168337,11.670001,1.3314999
78,1569,151.380818495668,-33.4305996168716,78,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
79,1570,151.196723488239,-32.5267892624467,79,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
80,1571,151.196502964178,-32.5267684597357,80,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
81,1572,151.365,-33.3253,81,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
82,1573,151.365,-33.3255,82,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
83,1574,151.365,-33.3252,83,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
84,1575,151.544703561954,-32.7002354432202,84,61.1,117.816666,64.2,201.4,24.795004,12.758335,1.3955
85,1576,151.37786821747,-33.3974679280272,85,81.71667,113.183334,97.183334,196.86667,23.286669,13.123335,1.4283334
86,1577,151.196679560861,-32.5266933858706,86,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
87,1578,151.107480442292,-32.8896795306661,87,54.783333,113.316666,57.483334,201.1,24.170002,11.141667,1.2951665
88,1579,150.916,-33.2638,88,61.316666,112.86667,66.01667,199.45,23.795,11.09,1.2943336
89,1580,151.196596331585,-32.5265496749059,89,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
90,1581,151.399141252182,-33.4376716800346,90,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
91,1582,151.380810197584,-33.4305447573154,91,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
92,1583,151.559,-33.2879,92,80.85,119.65,93.63333,199.55,23.346668,14.248335,1.4803334
93,1584,151.34652921944,-33.2677887752962,93,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
94,1585,151.354358839012,-33.2695514895332,94,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
95,1586,151.463,-33.1109,95,74.28333,117.166664,83.333336,199.1,23.80167,13.353334,1.4583333
96,1587,151.462,-33.2273,96,78.916664,115.816666,91.6,198.38333,23.51,13.643334,1.4599999
97,1588,151.559,-33.2883,97,80.85,119.65,93.63333,199.55,23.346668,14.248335,1.4803334
98,1589,151.462,-33.4014,98,83.86667,119.28333,98.61667,198.35,23.591671,13.901668,1.4656669
99,1590,151.196500403744,-32.5268763319127,99,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
100,1591,151.481,-33.364,100,82.73333,120.1,96.6,198.68333,23.633335,14.053334,1.4721667
101,1592,151.541315757941,-33.103541108918,101,75.98333,120.333336,85.0,199.45,23.916666,13.766667,1.4708333
102,1593,151.463,-33.111,102,74.28333,117.166664,83.333336,199.1,23.80167,13.353334,1.4583333
103,1594,151.366,-33.288,103,75.76667,113.03333,87.25,197.56667,23.433336,12.755002,1.4081665
104,1595,151.432605330042,-33.2415727805656,104,77.38333,113.78333,89.86667,197.96666,23.518333,13.32167,1.4428334
105,1596,151.462,-33.2771,105,79.55,117.083336,92.53333,198.76666,23.455004,13.666668,1.4653333
106,1597,151.64520006641,-33.1252859859105,106,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
107,1598,151.087954882673,-33.4615305159553,107,70.15,117.416664,78.21667,197.71666,23.625002,12.180002,1.3916665
108,1599,151.485,-33.3665,108,82.73333,120.1,96.6,198.68333,23.633335,14.053334,1.4721667
109,1600,151.635800123994,-32.9142181270248,109,72.11667,116.916664,79.316666,199.85,23.838337,13.403336,1.448
110,1601,151.636538286875,-32.9154991924677,110,72.11667,116.916664,79.316666,199.85,23.838337,13.403336,1.448
111,1602,151.637483874363,-32.9161541844826,111,74.21667,118.666664,82.26667,199.3,23.941671,13.778336,1.4623333
112,1603,151.281,-32.8984,112,56.716667,115.15,59.583332,200.4,24.306667,11.753335,1.3369999
113,1604,151.448,-33.4079,113,83.25,116.71667,98.583336,197.7,23.390005,13.513335,1.4456666
114,1605,151.196955843153,-32.5265283502697,114,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
115,1606,151.370094018198,-32.7880191570453,115,51.916668,118.416664,54.45,201.9,24.896667,12.055002,1.3585
116,1607,151.421467233438,-33.4823676885255,116,85.0,118.3,101.48333,197.86667,23.51167,13.726668,1.4576668
117,1608,151.383231393722,-33.4784865233689,117,83.36667,116.46667,100.066666,197.43333,23.46167,13.433335,1.4531665
118,1609,151.226,-33.4918,118,76.5,114.7,88.2,196.75,23.33667,12.493335,1.4101666
119,1610,151.226,-33.4921,119,76.5,114.7,88.2,196.75,23.33667,12.493335,1.4101666
120,1611,151.467212615676,-33.2924954826322,120,,,,,,,
121,1612,151.636831108817,-33.143302968075,121,79.566666,120.4,90.666664,200.53334,23.451668,14.170001,1.4820001
122,1613,151.381216887526,-33.4309883276312,122,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
123,1614,151.380863087393,-33.4309198055728,123,82.75,114.71667,98.683334,196.9,23.49,13.346667,1.4451665
124,1615,151.581,-32.9869,124,71.55,118.5,78.416664,199.85,23.803337,13.315001,1.4564999
125,1616,151.365,-33.3242,125,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
126,1617,151.582076959453,-33.0548287974978,126,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
127,1618,151.655799821495,-32.6299455352506,127,66.53333,117.28333,70.26667,201.48334,24.593336,12.778335,1.4023335
128,1619,151.311,-33.3985,128,78.96667,113.13333,92.45,196.05,23.263338,12.610002,1.4016666
129,1620,151.582017699398,-33.0550482357229,129,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
130,1621,151.452989879944,-33.2433042891959,130,77.38333,113.78333,89.86667,197.96666,23.518333,13.32167,1.4428334
131,1622,151.605207713867,-32.9852762822667,131,73.3,120.183334,80.8,199.96666,23.921669,13.633333,1.4708332
132,1623,151.469164677105,-33.2934569288355,132,,,,,,,
133,1624,151.196914202977,-32.5265187032273,133,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
134,1625,151.281,-32.7974,134,58.783333,114.35,61.616665,200.38333,24.156672,11.516667,1.3016667
135,1626,151.281,-32.7972,135,58.783333,114.35,61.616665,200.38333,24.156672,11.516667,1.3016667
136,1627,151.196655316161,-32.5271208569985,136,49.166668,119.083336,51.533333,204.33333,25.595001,11.718335,1.3071666
137,1628,151.448,-33.2871,137,78.36667,115.53333,91.23333,198.25,23.563332,13.471668,1.4576666
138,1629,151.455,-33.187,138,76.8,113.96667,88.26667,197.91667,23.446667,13.128336,1.4258332
139,1630,151.087921187422,-33.4614780452414,139,70.15,117.416664,78.21667,197.71666,23.625002,12.180002,1.3916665
140,1631,151.555977976091,-33.1778595457163,140,79.2,119.166664,91.05,199.56667,23.498335,14.031668,1.4783334
141,1632,151.645036681721,-32.9227909005624,141,74.21667,118.666664,82.26667,199.3,23.941671,13.778336,1.4623333
142,1633,151.364,-33.325,142,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
143,1634,151.364,-33.3249,143,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
144,1635,151.365,-33.3248,144,77.48333,112.55,90.416664,196.75,23.260004,12.676668,1.4001664
145,1636,151.566087929228,-33.0548370843202,145,74.816666,120.433334,83.433334,199.93333,23.81667,13.731668,1.4715002
146,1637,151.087900819398,-33.4615016822084,146,70.15,117.416664,78.21667,197.71666,23.625002,12.180002,1.3916665
147,1638,151.373,-33.3344,147,78.3,112.583336,91.833336,196.91667,23.400002,12.806668,1.4163334
148,1639,151.686582717269,-32.8378142356027,148,71.38333,118.76667,78.25,200.75,23.971668,13.478334,1.4663332
149,1640,151.27991354107,-33.4988523228406,149,79.15,115.433334,92.333336,196.68333,23.275002,12.655002,1.4088333
150,1641,151.474,-33.1675,150,78.53333,116.03333,90.53333,198.43333,23.574999,13.545001,1.4545
151,1642,151.352,-32.7248,151,52.116665,119.066666,54.75,202.28334,24.991669,12.056669,1.3533332
152,1643,151.270013162297,-32.9670138990709,152,63.75,113.1,68.48333,199.45,23.553335,11.575001,1.318
153,1644,151.269994320346,-32.9670351424011,153,63.75,113.1,68.48333,199.45,23.553335,11.575001,1.318
154,1645,151.270055350749,-32.9669603481734,154,63.75,113.1,68.48333,199.45,23.553335,11.575001,1.318
155,1646,151.368763634255,-33.3673707663232,155,78.3,112.583336,91.833336,196.91667,23.400002,12.806668,1.4163334
156,1647,151.468095900632,-33.29211825508,156,,,,,,,
157,1648,151.466850349821,-33.2925991248649,157,,,,,,,
158,1649,151.419524196676,-33.3208207413864,158,79.46667,117.083336,92.75,198.31667,23.626669,13.566669,1.4648334
159,1650,151.460195097856,-33.063047729931,159,72.066666,116.8,79.683334,199.18333,23.821669,13.201667,1.4518332
